2025-12-20 20:13:53 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251206
2025-12-20 20:13:53 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:29 - 开始获取龙虎榜数据: 20251206 - 20251206
2025-12-20 20:13:53 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:13:53 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251206', 'end_date': '20251206'}
2025-12-20 20:13:54 | ERROR    | 34616:35108 | app.data_sources.akshare_client:fetch:32 - Error fetching data from Akshare API 'stock_lhb_detail_em': 'NoneType' object is not subscriptable
2025-12-20 20:13:54 | ERROR    | 34616:35108 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:82 - _fetch_from_akshare 失败: Error fetching data from Akshare API 'stock_lhb_detail_em': 'NoneType' object is not subscriptable
2025-12-20 20:13:54 | WARNING  | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:50 - API akshare 未获取到数据
2025-12-20 20:13:54 | WARNING  | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:58 - 未能获取到龙虎榜数据: 20251206 - 20251206
2025-12-20 20:13:54 | WARNING  | 34616:35108 | app.services.dragon_tiger_service:import_by_date:45 - 未获取到龙虎榜数据: 20251206
2025-12-20 20:13:54 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251207
2025-12-20 20:13:54 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:29 - 开始获取龙虎榜数据: 20251207 - 20251207
2025-12-20 20:13:54 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:13:54 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251207', 'end_date': '20251207'}
2025-12-20 20:13:55 | ERROR    | 34616:35108 | app.data_sources.akshare_client:fetch:32 - Error fetching data from Akshare API 'stock_lhb_detail_em': 'NoneType' object is not subscriptable
2025-12-20 20:13:55 | ERROR    | 34616:35108 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:82 - _fetch_from_akshare 失败: Error fetching data from Akshare API 'stock_lhb_detail_em': 'NoneType' object is not subscriptable
2025-12-20 20:13:55 | WARNING  | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:50 - API akshare 未获取到数据
2025-12-20 20:13:55 | WARNING  | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:58 - 未能获取到龙虎榜数据: 20251207 - 20251207
2025-12-20 20:13:55 | WARNING  | 34616:35108 | app.services.dragon_tiger_service:import_by_date:45 - 未获取到龙虎榜数据: 20251207
2025-12-20 20:13:55 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251208
